INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881750551-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881750552-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881751657-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881751658-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881752763-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881752764-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881753872-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881753873-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881754978-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881754979-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881756084-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881756085-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881757189-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881757191-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881758294-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881758330-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881759448-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881759449-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881760553-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881760554-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881761661-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881761663-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881762770-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881762772-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881763879-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881763897-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881765004-0
